"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Sox17"	17.9218351322995	0.0567175928080931	0.14291740155147	-0.122261169761646	0.902692183280413	0.999847817557225
"Mrpl15"	196.706977153318	0.17245659275457	0.159496849929938	1.1349202599006	0.256408730339664	0.999847817557225
"Lypla1"	663.927686987207	0.0880983772182862	0.15272993090251	0.759890974281584	0.447319757132613	0.999847817557225
"Tcea1"	89.189070084373	-0.0562815738874985	0.167276006318027	-0.387324493824752	0.69851599451619	0.999847817557225
"Atp6v1h"	301.397408016249	0.0991751933429822	0.155904291214187	0.711309724268578	0.476892326963495	0.999847817557225
"Rb1cc1"	236.936023938396	0.000325921275590987	0.159928431890846	0.0690067186636276	0.94498427153017	0.999847817557225
"4732440D04Rik"	7.87055446656268	-0.0289689672155057	0.118104262515928	-0.26707065561488	0.789414760647489	0.999847817557225
"Pcmtd1"	447.006175752713	0.143614785641583	0.14910674857427	1.04452662085504	0.296241809355098	0.999847817557225
"Gm9826"	5.79032460210304	-0.137391107585221	0.100115847145929	-0.302526774561058	0.762250525928691	0.999847817557225
"Rrs1"	87.6057273134234	0.0127205905930589	0.16709738652181	0.267317840249045	0.789224451883639	0.999847817557225
"Adhfe1"	409.382484187707	0.0696996065684983	0.161255313667182	1.24301637606387	0.213861798956028	0.999847817557225
"2610203C22Rik"	6.81451769733789	-0.0267020983059073	0.10087183514972	0.483029741709396	0.629074618609348	0.999847817557225
"Mybl1"	20.0729241014474	-0.0740863303694058	0.138177127083688	-0.122508249534368	0.90249651302204	0.999847817557225
"Vcpip1"	253.468808713863	0.0648098239989611	0.15856116677246	0.355225069219941	0.722420985307429	0.999847817557225
"Sgk3"	100.411469494378	-0.205994610449963	0.167182145030569	-1.53435679046018	0.124941901572574	0.999847817557225
"Snhg6"	34.1204883475866	0.202806608905011	0.155978258948452	0.776347153365233	0.437544038623776	0.999847817557225
"Tcf24"	76.5789266578543	0.236812257443681	0.143249730548457	-0.723359243079805	0.469459204238733	0.999847817557225
"Cops5"	290.861028852867	0.00551303429725285	0.161554668350125	0.0124442558625394	0.990071176639371	0.999847817557225
"Cspp1"	100.521781344222	-0.0356986457463971	0.166729504905438	-0.234198728398363	0.814830702162741	0.999847817557225
"Arfgef1"	575.059311440267	0.0334222840621661	0.161589008128941	0.149308134271123	0.881310497000852	0.999847817557225
"Prex2"	66.5093615642142	0.128075587080841	0.165498762268909	0.69609235121084	0.486370996298232	0.999847817557225
"Sulf1"	6.36867197243411	-0.0371437715098621	0.105521906440957	-0.639582111173415	0.522444315487485	0.999847817557225
"Ncoa2"	259.965585631772	-0.112838055806555	0.157584155655387	-0.698017541499031	0.485166224002723	0.999847817557225
"Tram1"	821.600389978418	-0.0162575509156171	0.164263989414242	-0.393625382521135	0.693857638530806	0.999847817557225
"Lactb2"	1657.84324443405	0.119744574606144	0.165857053225261	1.09302307720226	0.274383667565633	0.999847817557225
"Gm38319"	13.0830757473446	-0.0536876858090418	0.13495443687855	-0.0511279389461351	0.959223573042185	0.999847817557225
"Xkr9"	87.3980963610848	0.169911090572917	0.164633411089345	1.23946020613074	0.215175116994626	0.999847817557225
"Kcnb2"	5.43768227946587	0.0758944878125452	0.0795994524426222	-0.284882709753041	0.775734002963916	0.999847817557225
"Gm37138"	4.9213076236083	-0.101021853859564	0.0880310311829926	-0.411727505503869	0.680539162164267	0.999847817557225
"Terf1"	52.1229575083934	-0.15740342214909	0.165539382965679	-1.06007631590188	0.289109881631812	0.999847817557225
"Rpl7"	945.627848695069	0.0129619938122919	0.14375120441111	-0.0224537574393036	0.982085998907121	0.999847817557225
"Rdh10"	161.831752519791	0.0571643179377415	0.164608801125548	0.489075010079742	0.624788592851385	0.999847817557225
"Stau2"	35.2632538704197	0.0197129233005573	0.159015841224799	0.222944437093693	0.823578750835102	0.999847817557225
"Ube2w"	106.750459184629	-0.183841197781497	0.166304990203543	-1.14842140682348	0.250794640700218	0.999847817557225
"Eloc"	180.177073903444	0.0691704677519442	0.166921930303929	0.38798321526641	0.698028454864898	0.999847817557225
"Tmem70"	198.426649273752	0.0934753893164019	0.159513591586081	0.665829402340852	0.505520149188217	0.999847817557225
"Ly96"	21.4345310236933	0.00109575624500781	0.149386396228962	-0.0780263494442363	0.937807093058019	0.999847817557225
"Pkhd1"	68.6623567874834	-0.0196817508898699	0.157508741700234	-0.41591139955946	0.677474837588342	0.999847817557225
"Mcm3"	44.4857420326372	0.00682734572185137	0.164271283889033	-0.202429066603837	0.839581306876255	0.999847817557225
"Tram2"	87.0797508433345	0.141961202959288	0.166892756673194	0.846165624560602	0.397460355622415	0.999847817557225
"Tmem14a"	19.460567424369	0.0249564555515488	0.146249747708276	0.183455801315905	0.854440395598739	0.999847817557225
"Gsta3"	5720.12130713087	0.11743865760717	0.161795478757728	1.38393578030323	0.166378119633643	0.999847817557225
"Gm28836"	6.84033330323376	-0.0715578896813107	0.0957267604800923	-0.0884676578547341	0.929504988816259	0.999847817557225
"Gm4956"	24.0593497637233	-0.118919868844696	0.125363249066512	0.858802136062555	0.390449688891503	0.999847817557225
"Ogfrl1"	69.0594305044962	0.197983822762364	0.166739944115815	1.33524310835195	0.181796792047371	0.999847817557225
"Smap1"	72.2536306610603	-0.0158151221932482	0.167215826476452	-0.0980041174871835	0.921929023828058	0.999847817557225
"Sdhaf4"	67.2344565077253	0.137554102211271	0.166402385424128	0.856765862345135	0.391574295660099	0.999847817557225
"Fam135a"	174.834030673992	-0.131979179744026	0.165420882956908	-0.911063002340479	0.36226217893401	0.999847817557225
"Lmbrd1"	372.662612814923	0.0872310695178955	0.152705002208168	0.621128820085766	0.53451486816514	0.999847817557225
"Gm5524"	53.5658787843962	0.0621036078066513	0.149857714836273	1.10422616337011	0.269495042982311	0.999847817557225
"Phf3"	348.734213196229	-0.00385618760959666	0.155617482889255	-0.112902601040724	0.910107774186164	0.999847817557225
"Ptp4a1"	251.675846938761	0.139366057908311	0.160594174032897	0.622983415329888	0.53329542037198	0.999847817557225
"Prim2"	14.1471882402888	0.0513031426934418	0.133512497936611	0.167309129350873	0.867126821205759	0.999847817557225
"Rab23"	77.7095482274312	0.0254960453163117	0.165216186060363	-0.411876343432338	0.680430060928506	0.999847817557225
"Bag2"	10.2867894045705	0.0318004715609235	0.127227487034032	0.417660738609556	0.676195181630023	0.999847817557225
"Zfp451"	77.281613941053	-0.0630242247732164	0.167250817496773	-0.373911707676726	0.708470005761939	0.999847817557225
"Dst"	620.387946853566	-0.0510256547903276	0.160037572830559	-0.397942673219791	0.690672443419927	0.999847817557225
"Ccdc115"	57.6142024036685	-0.0131390686782707	0.166591435344043	-0.0150042892423813	0.988028758447701	0.999847817557225
"Imp4"	113.764009924934	0.0819208853166393	0.16585323530633	0.403669879378929	0.686455491829122	0.999847817557225
"Ptpn18"	6.25734583181708	-0.152766479601577	0.106809042719579	-1.38406973342972	0.166337103447656	0.999847817557225
"Fam168b"	350.945397874555	-0.0956822756286128	0.15254185992064	-0.662272859364291	0.507796367429136	0.999847817557225
"Plekhb2"	112.628550778081	-0.284212595724295	0.166848122149459	-1.59764219412961	0.110122630363636	0.999847817557225
"Hs6st1"	524.194492417003	0.317317153224412	0.161730205880414	2.11924985085428	0.0340693573573166	0.999847817557225
"Uggt1"	517.316844615625	-0.0814129921305375	0.160775599474926	-0.715623239205523	0.474224020043785	0.999847817557225
"Neurl3"	57.8925167362053	-0.135273324611122	0.162644733858884	-0.83520355706097	0.403603107268855	0.999847817557225
"Arid5a"	10.3378213173203	-0.00242526749423852	0.110716578904437	-0.603635144507836	0.546086241730114	0.999847817557225
"Kansl3"	221.535119373924	-0.012485760108549	0.162502897757702	0.0124536285151507	0.990063698924015	0.999847817557225
"Fer1l5"	11.8808585864917	-0.0109598904269395	0.117551008716917	0.22453022930099	0.822344747721721	0.999847817557225
"Lman2l"	77.58551721118	-0.000368334376432739	0.16726278413975	-0.151588877553287	0.879511206448111	0.999847817557225
"Cnnm4"	22.4651363361266	0.0212262328109667	0.142091772499602	0.405961697647724	0.684770743725203	0.999847817557225
"Cnnm3"	70.4116904565628	-0.118738125382706	0.166950773895888	-0.489973313714742	0.624152782833939	0.999847817557225
"Ankrd39"	14.3151579306909	0.0410076836202767	0.132783683913738	0.459081926366355	0.646175335002056	0.999847817557225
"Sema4c"	24.8789054517864	0.0963971160665397	0.148845647735839	0.505988553291853	0.612864685378874	0.999847817557225
"Cox5b"	385.150910128131	0.172591664224516	0.158912677698915	1.21009531437208	0.226242320936633	0.999847817557225
"Actr1b"	398.595234626644	0.0804812200525372	0.153420817268148	0.544217293685493	0.586291952668156	0.999847817557225
"Zap70"	76.0008770094549	0.158457767859676	0.154144334977209	0.691222950422755	0.489425443277001	0.999847817557225
"Tmem131"	174.102620748275	0.12595201375187	0.166408426152036	0.805234658524218	0.420684279828007	0.999847817557225
"Inpp4a"	111.668760167184	0.0764319972650181	0.166518007582858	0.398133401186103	0.690531854571898	0.999847817557225
"Coa5"	489.495664450756	0.0523155907354763	0.155698225182557	0.454534723518553	0.649444005504048	0.999847817557225
"Unc50"	132.416905251782	0.0616853601961726	0.165406080168091	0.373252603522294	0.708960448430996	0.999847817557225
"Mgat4a"	10.4285273039796	-0.0276572180059573	0.117204510693813	-0.48246640447196	0.629474658486797	0.999847817557225
"Tsga10"	15.1748905545012	-0.0855758294664987	0.128854231978866	-0.285591548659013	0.775190977178433	0.999847817557225
"Lipt1"	30.9134157303935	-0.0082244400407743	0.154356095908792	0.0848929721341122	0.932346479043308	0.999847817557225
"Mitd1"	42.9490140291188	-0.150276790442493	0.16337725940974	-1.03453676559253	0.300885298322524	0.999847817557225
"Mrpl30"	208.762530431176	0.039672914470127	0.159820602502741	0.269757124777943	0.787347109787247	0.999847817557225
"Txndc9"	153.014319633018	0.00423357244616321	0.165435602942223	0.0502830062252964	0.959896865705636	0.999847817557225
"Eif5b"	492.879631654384	-0.061586540869083	0.152563519052914	-0.420840659747733	0.673871438920036	0.999847817557225
"Rev1"	45.9251344549246	0.0568831460791587	0.160639462905941	0.439951733445881	0.659972065698184	0.999847817557225
"Pdcl3"	98.4486144289712	0.0641575412852123	0.166842017501595	0.289291063484045	0.772358650406713	0.999847817557225
"Npas2"	54.4344850458456	-0.3435393766771	0.156550056138704	-2.85398535878214	0.00431745210498342	0.999847817557225
"Rpl31"	347.683482642875	0.0370987288088702	0.155581723157111	0.079496180834229	0.93663796925379	0.999847817557225
"Tbc1d8"	70.8194952326661	0.0777344996699471	0.165456802380868	0.720450038126715	0.471247950846187	0.999847817557225
"Cnot11"	84.7260348230091	0.0870115213791943	0.166946256654743	0.390895761116518	0.695874287336235	0.999847817557225
"Gm15832"	9.51785815783152	-0.107752112186309	0.116012483390491	-0.759997981175877	0.44725579161777	0.999847817557225
"Rnf149"	324.062873996984	0.0686201350582984	0.159217480210155	0.475506919795418	0.634425702231613	0.999847817557225
"Map4k4"	152.540400019542	-0.0133026764768864	0.167250956891772	-0.452158697625021	0.651154660164931	0.999847817557225
"Il1r1"	171.296832605978	0.286511007412088	0.165390303793214	1.81985548188303	0.0687810159513525	0.999847817557225
"Mrps9"	101.223188334265	0.032775979225514	0.166297560775974	0.236084190926532	0.813367341055353	0.999847817557225
"Tgfbrap1"	247.684150746531	0.0809705282461282	0.162505452660539	0.721899828134627	0.470356066947189	0.999847817557225
"AI597479"	65.6741840234319	-0.0183868676864093	0.166815130137451	-0.181028281045827	0.856345377676476	0.999847817557225
"Nck2"	32.7265736773969	0.00695140618489508	0.139758956921922	-0.70310854267109	0.48198810880925	0.999847817557225
"Uxs1"	64.6711297528859	-0.0699653230713856	0.166391684520096	-0.727578864047478	0.466871422782539	0.999847817557225
"Tpp2"	237.951727967463	-0.0120224053032399	0.159071851446831	-0.104511355444772	0.916763557287351	0.999847817557225
"Tex30"	19.3579781274546	-0.196884697795194	0.146997219746463	-1.62485619595589	0.104193203678381	0.999847817557225
"Kdelc1"	39.4011646646239	-0.0600507330816681	0.161723047480237	-0.756934069621491	0.449089362763078	0.999847817557225
"Bivm"	67.8914947211463	-0.118253821845581	0.167145453234136	-0.732979481622034	0.463570943953201	0.999847817557225
"Ercc5"	89.2794850741192	0.00798367539476276	0.163883922363206	-0.118726003704988	0.905492434278181	0.999847817557225
"Col3a1"	593.4844238796	-0.0674642774851088	0.162726027232815	-0.839831234088959	0.401003018185226	0.999847817557225
"Col5a2"	62.9407953731822	-0.261757199863888	0.163738109049913	-2.17594647349486	0.0295592632050051	0.999847817557225
"Wdr75"	67.9308322330296	-0.0290191952547631	0.165582305337652	-0.201806190482114	0.840068241816603	0.999847817557225
"Slc40a1"	594.431335069854	-0.0998087822553626	0.160277818536176	-0.210910385027615	0.832957200324838	0.999847817557225
"Slc39a10"	39.6309828541755	-0.112717592578635	0.16240798369878	-0.696542943121392	0.486088873738545	0.999847817557225
"Cavin2"	132.142679345459	0.0909951871640001	0.16691279687717	0.0513308675494616	0.959061871770796	0.999847817557225
"Nabp1"	134.296940815481	0.0313567022110752	0.165942380301446	0.233307744820903	0.815522445041435	0.999847817557225
"Myo1b"	982.993143289894	0.13256265742238	0.150884589456922	0.986938384721954	0.323672845317995	0.999847817557225
"Stat1"	131.974677208358	-0.253173861708644	0.16457738699928	-1.65018784065434	0.098904522999955	0.999847817557225
"Gls"	61.839931638917	-0.159548387264011	0.167110491804217	-1.33302603687361	0.18252325953379	0.999847817557225
"Nab1"	497.281549529072	-0.0682034670129946	0.162605823750548	-0.588217476842406	0.556386328086137	0.999847817557225
"Mfsd6"	78.7365292001898	-0.016499348165162	0.167275447994868	-0.240824906383032	0.80969082513558	0.999847817557225
"Inpp1"	79.8450727925023	0.0773498210613395	0.167017099307994	0.198020946256039	0.84302867548244	0.999847817557225
"Hibch"	329.120441660724	0.0411847688485752	0.163735916350183	0.507265482948844	0.611968554117742	0.999847817557225
"Pms1"	21.0921302072692	-0.100702170345019	0.148164393063421	-0.126523238555708	0.899317755151226	0.999847817557225
"Ormdl1"	73.8687918407782	0.106333430610159	0.16704693949657	0.843776798534475	0.398794142867034	0.999847817557225
"Osgepl1"	56.3475269351114	0.0693472918135775	0.165481333246919	0.537577107788921	0.590869038051517	0.999847817557225
"Asnsd1"	35.8430773776364	-0.0980668250717261	0.161941429833451	-0.628257118011767	0.529835518267774	0.999847817557225
"Stk17b"	50.107066659602	-0.0703474432912126	0.145515489817553	-0.391246785652309	0.69561482893243	0.999847817557225
"Hecw2"	16.4201723640815	0.081212811944307	0.133792698707997	0.335743275518953	0.737064468997885	0.999847817557225
"Gtf3c3"	71.1139039717066	-0.0819591526678879	0.166951722018257	-0.448025092770569	0.654135087212951	0.999847817557225
"Pgap1"	100.574526309744	-0.0259695444455451	0.164050304039181	0.149161786203161	0.881425972793596	0.999847817557225
"Ankrd44"	34.7951627477981	-0.0225471346923158	0.160285974492037	-0.164589487284189	0.869267106295593	0.999847817557225
"Sf3b1"	697.605206380588	0.00196738692013475	0.150681546502366	-0.0283583229092979	0.977376364321525	0.999847817557225
"Coq10b"	83.9507028611203	0.00714411883843743	0.16608886523928	0.247213131297328	0.804743283341149	0.999847817557225
"Hspd1"	1430.73616653016	0.0706587800821621	0.152762941773138	0.52215561501698	0.601561986606905	0.999847817557225
"Hspe1"	281.470285077816	0.181869420353817	0.161344454015611	1.09081079456174	0.275356145630292	0.999847817557225
"Mob4"	156.31809506121	-0.0168119914562	0.163888241356977	-0.158723308703786	0.87388687328615	0.999847817557225
"Mars2"	28.069871399036	0.0490935300418537	0.157413106715251	0.211869568870027	0.832208792156854	0.999847817557225
"Satb2"	7.80535658196962	-0.020908994618422	0.110108367836507	-0.970104455587689	0.331994428322984	0.999847817557225
"1700066M21Rik"	193.989060364197	0.101653802535643	0.166131891628452	0.771751304850946	0.440261737685576	0.999847817557225
"Tyw5"	41.1273418761101	0.111164993371551	0.157696054776946	0.78404353457424	0.433014565883907	0.999847817557225
"Maip1"	62.1130341507752	0.0549162257244847	0.165616523098719	0.56337548197658	0.57317922893536	0.999847817557225
"Spats2l"	22.5825232680668	0.0908932303609102	0.121015837485042	-0.11716242260867	0.906731344194471	0.999847817557225
"Kctd18"	38.737165980648	-0.0719206684426753	0.15856331924144	-0.365715135163235	0.714577651147349	0.999847817557225
"Aox1"	625.776663681486	0.0755716862150014	0.163958162002309	1.18609687531766	0.235584044382605	0.999847817557225
"Aox3"	2107.69944125168	-0.0617255037940037	0.107427565169195	0.426211739815364	0.669953563750688	0.999847817557225
"Bzw1"	767.937264258531	0.00307761641517224	0.14717056933402	-0.0481736030714556	0.961577887452849	0.999847817557225
"Clk1"	358.759712073236	-0.209993714116045	0.160849482214713	-1.32622605867447	0.184764830220455	0.999847817557225
"Ppil3"	51.0722127805473	0.0274435901454834	0.165145784657961	0.112769494808237	0.910213303651865	0.999847817557225
"Nif3l1"	62.8224113414086	-0.00389863499988503	0.166153827676243	-0.0498656400746089	0.960229458471722	0.999847817557225
"Orc2"	25.8373985644104	0.0666256906720708	0.152130136271909	0.584791492160187	0.558687925708482	0.999847817557225
"Fam126b"	144.509294532508	0.186085443691562	0.164105120365653	1.31557448947406	0.188316900550882	0.999847817557225
"Ndufb3"	208.757400391582	0.150777059834457	0.166241961202594	1.05934046472343	0.289444752707467	0.999847817557225
"Gm20257"	7.30325354975939	-0.0124996866740396	0.112717933068071	0.119509309491389	0.904871864988658	0.999847817557225
"Cflar"	440.590442624469	-0.0446756099008962	0.151138891110087	-0.257408315368677	0.796863584377691	0.999847817557225
"Casp8"	162.041919762521	-0.0608996622802788	0.162576295320571	-0.51075916280631	0.609519707662038	0.999847817557225
"Trak2"	160.934021131941	-0.0665430905382362	0.16453993201425	-0.420110370230417	0.674404827314735	0.999847817557225
"Stradb"	203.061102423541	0.0648977944042594	0.16687109483729	0.63416616983705	0.525972383054066	0.999847817557225
"Tmem237"	28.7332163996373	0.216829340105466	0.154993975936304	1.47562424732055	0.140044792148148	0.999847817557225
"Als2"	307.794866880686	-0.00641471631313895	0.163641017529152	0.0761552556063885	0.939295580115327	0.999847817557225
"Fzd7"	78.8456979846082	0.0812553153785389	0.153307359612898	0.632450407180526	0.527092604694748	0.999847817557225
"Sumo1"	71.9383490386316	-0.212031374816413	0.167253873181131	-1.30201513005867	0.192911213496722	0.999847817557225
"Nop58"	140.239857667112	0.0101259832009856	0.165917869596655	-0.26237350206081	0.793033499570806	0.999847817557225
"Bmpr2"	241.214091704018	-0.0535512198055687	0.161168656395883	-0.29582742383787	0.767361878657465	0.999847817557225
"Fam117b"	42.6194588754996	-0.0184835342799201	0.161723212998975	-0.328253860600771	0.742719726945707	0.999847817557225
"Wdr12"	72.4210101773705	0.0361905076205572	0.166884797967888	0.186204301768509	0.852284550632599	0.999847817557225
"Carf"	29.203726275802	0.0382886432114449	0.15418719895382	0.337519716118165	0.73572515191057	0.999847817557225
"Nbeal1"	224.948324590166	-0.117671737989986	0.161859919417281	-0.776882143745692	0.437228307097295	0.999847817557225
"Cyp20a1"	53.206365933518	0.021952492934286	0.16558202527876	0.018070866152969	0.985582319597644	0.999847817557225
"Abi2"	58.9168913006226	-0.0285754249145934	0.165866627052904	-0.746751375612853	0.455213651609014	0.999847817557225
"Raph1"	703.123699211742	0.0555943561473431	0.15875062181813	0.0333230945806909	0.973416937172601	0.999847817557225
"Eif4a-ps4"	7.52985957581459	-0.164094181548598	0.109114310092143	-1.63544289442716	0.101956236591728	0.999847817557225
"Pard3b"	22.773568441278	-0.00141631472752733	0.144365408600942	0.625341797121445	0.531746753112154	0.999847817557225
"Nrp2"	123.233602892498	-0.0346195736358291	0.160096721314555	0.0389668655057034	0.968916806035429	0.999847817557225
"Ino80d"	129.908085018949	-0.00121938307851694	0.165625520342811	-0.170281152507245	0.864789032913088	0.999847817557225
"Gm20342"	25.6588900875036	-0.024616203358628	0.152820115655015	-0.481364053351804	0.630257780118348	0.999847817557225
"Ndufs1"	525.312064147168	0.0571939754580461	0.155994998048329	0.52840708829296	0.597216818797609	0.999847817557225
"Eef1b2"	714.410793443036	-0.00841463363762718	0.151116887905642	-0.210937874457064	0.832935749444195	0.999847817557225
"Adam23"	79.1138616095548	-0.135763093351748	0.161859602377854	-0.882479096371407	0.377517779025867	0.999847817557225
"Fastkd2"	84.6811298709423	0.0270793602729778	0.167131325376327	0.285697247152194	0.775110013315131	0.999847817557225
"Klf7"	32.4740019309072	0.104465620226802	0.160904231468169	0.375263051254902	0.7074648424074	0.999847817557225
"Creb1"	99.3393547408665	-0.259951963768281	0.166817486740322	-1.40984261322583	0.158586160759272	0.999847817557225
"Mettl21a"	39.4641083943606	0.0200317416943896	0.160073680013748	0.0219465596239967	0.982490584497202	0.999847817557225
"2810408I11Rik"	11.4514641071156	-0.0337694097604324	0.132258063725545	-0.165931902453309	0.868210540976224	0.999847817557225
"Ccnyl1"	18.0076347346882	0.111896032358717	0.14293876867676	0.746245209125844	0.455519302763388	0.999847817557225
"Fzd5"	47.8134776431034	0.0306362625206374	0.153825547627738	-0.446577785994696	0.655179937617979	0.999847817557225
"Plekhm3"	24.0242570254507	-0.0820029283221568	0.155206938520256	-0.929172795499205	0.35279954353419	0.999847817557225
"Idh1"	2035.91261556634	0.107276113189393	0.149669043906917	0.821785008460937	0.411199267447876	0.999847817557225
"Pikfyve"	157.189256306573	0.0366040566079381	0.164145051621625	0.219542096012797	0.826227791722016	0.999847817557225
"Rpe"	165.569502134385	-0.0130746874387034	0.164177839625738	-0.0623923553458241	0.950250382651012	0.999847817557225
"Kansl1l"	49.7719685530705	-0.000522482176522478	0.164651115946027	0.0268506952713631	0.97857881879563	0.999847817557225
"Acadl"	1109.06035707249	0.0685555661222949	0.141578171338054	0.517054488545406	0.60511812253905	0.999847817557225
"Lancl1"	71.4463417316484	0.0386861629666538	0.166194473145506	0.169132856845287	0.865692141185523	0.999847817557225
"Cps1"	7185.89749202216	0.231985639104333	0.166667601165708	1.77768893583546	0.0754549578462529	0.999847817557225
"Erbb4"	16.1499740422109	-0.0496141161436789	0.129094055348631	0.535775761214132	0.592113536051502	0.999847817557225
"Atic"	134.248950690509	-0.0335040983523719	0.165760617028989	-0.348961745600387	0.727118028982613	0.999847817557225
"Fn1"	8395.7317093495	-0.0249883614122925	0.167041242919564	-0.555075022968888	0.578843346135534	0.999847817557225
"Gm8883"	79.7773450913592	0.0599840364758848	0.167139506926721	0.483889690229419	0.628464157552677	0.999847817557225
"Gm28818"	9.54645208071986	-0.0084213553144385	0.120089689955639	-0.478586880915751	0.632232553160265	0.999847817557225
"Mreg"	150.007862095836	-0.15397454882464	0.16534403131495	-0.650489495023038	0.515376085194591	0.999847817557225
"D230017M19Rik"	20.8765494699043	-0.0960519898790408	0.144095367081192	-0.164668949470191	0.869204558029383	0.999847817557225
"Pecr"	633.686940594255	0.129135152995157	0.16567652740825	1.28485867580828	0.198841673805728	0.999847817557225
"Xrcc5"	124.90752116236	-0.0780470909883064	0.166896101739355	-0.622529157866577	0.533593977137186	0.999847817557225
"Smarcal1"	68.7008896415641	0.0525673691657926	0.166334995849018	0.39757113321343	0.690946342553391	0.999847817557225
"Rpl37a"	427.496479695367	0.0038201734969047	0.156638164848799	-0.175343586952612	0.860809664815972	0.999847817557225
"Igfbp2"	501.792719369034	0.087767636911991	0.159727908317757	0.30695658899758	0.75887641502186	0.999847817557225
"Igfbp5"	32.4155571661807	-0.00960624255532999	0.143275736907077	0.0910029520788981	0.927490245372131	0.999847817557225
"Tns1"	588.431109181639	0.32168911596354	0.165937937672751	2.02915676088339	0.0424423260816956	0.999847817557225
"Rufy4"	10.3157616269122	-0.0220835567069777	0.108021307780088	0.486966317105832	0.626282200947948	0.999847817557225
"Arpc2"	691.513541033399	-0.0206378177893864	0.155231151782633	-0.262771792080321	0.792726478347692	0.999847817557225
"Aamp"	456.323498599978	0.0311307635804927	0.153044903947412	0.241356184493207	0.809279068723026	0.999847817557225
"Pnkd"	456.233914596084	-0.0276247775013771	0.166971724229614	0.212318567270261	0.831858511042048	0.999847817557225
"Tmbim1"	220.221320263133	0.0625784986042154	0.163971622537312	0.325353718143519	0.744913379165216	0.999847817557225
"Slc11a1"	61.3715653951904	-0.26460584742275	0.157071541126443	-1.70745463960886	0.0877375819986851	0.999847817557225
"Ctdsp1"	656.400679120222	0.0349383759342817	0.150634508663365	0.286928472697847	0.774167088647686	0.999847817557225
"Usp37"	44.613972400993	-0.0707598013667842	0.163979853481886	-0.44153159147565	0.658828196046683	0.999847817557225
"Cnot9"	93.2388710568525	-0.0755901781556437	0.166498795323312	-0.438792527132673	0.660811875554684	0.999847817557225
"Zfp142"	26.9241602037386	0.0033355985283366	0.154914917444386	0.117206039404378	0.90669678115547	0.999847817557225
"Bcs1l"	48.4158344892158	0.0921252723236494	0.162221011888761	0.699208496139465	0.484421741741493	0.999847817557225
"Rnf25"	71.7378724365204	-0.148619115567301	0.166584025976028	-1.03624248879959	0.300089029150747	0.999847817557225
"Ttll4"	117.876641146227	-0.0820928186506025	0.166332820323404	-0.638170420193691	0.523362750086501	0.999847817557225
"Cyp27a1"	1095.046627774	-0.0192176881117502	0.116664294408716	0.697913933327628	0.485231020189986	0.999847817557225
"Ihh"	7.58041057535407	0.0589439463303776	0.0939479705880478	0.660857842204002	0.508703484195726	0.999847817557225
"Nhej1"	15.8557079639912	0.111611009281245	0.141003746545903	0.522657976654737	0.60121228701964	0.999847817557225
"Cnppd1"	208.952125095233	0.0238225342237221	0.161209325739466	0.19952454660373	0.841852443941723	0.999847817557225
"Retreg2"	592.258031493651	0.126486265500487	0.159340710230784	1.02166946453358	0.306937368094487	0.999847817557225
"Zfand2b"	85.4035859972794	0.125511211636822	0.166984590981112	0.991041984349515	0.321665079870664	0.999847817557225
"Abcb6"	16.7780475692891	-0.110689043640075	0.141482625246211	-0.408665867953651	0.682784885306224	0.999847817557225
"Atg9a"	117.250411935632	-0.0128303185795543	0.165588814842456	0.0667965214481021	0.946743692708646	0.999847817557225
"Ankzf1"	75.7979198723304	-0.0388791389173699	0.167139404691519	-0.230485549412115	0.817714491145375	0.999847817557225
"Glb1l"	15.6926654731414	-0.047087789496686	0.137587826191246	-0.171216201493153	0.864053768650227	0.999847817557225
